TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,prosegments.com,REMARKS
com.divum.ibn,News18: Breaking & Local News,com.divum.ibn,http://www.news18.com/app-ads.txt,True,"prosegments.com, PSADG106, DIRECT",
com.livescore,LiveScore: Live Sports Scores,com.livescore,https://www.livescore.com/app-ads.txt,True,"prosegments.com, PSADG102, DIRECT",
com.cricbuzz.android,Cricbuzz - Live Cricket Scores,com.cricbuzz.android,https://www.cricbuzz.com/app-ads.txt,True,"prosegments.com, PSADG107, DIRECT",
com.trainlivestatus.checkpnrstatusonline,Live Train Status : PNR Status,com.trainlivestatus.checkpnrstatusonline,https://softechdevs.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG122, DIRECT",
com.cricbuzz.android.vernacular,Cricbuzz - In Indian Languages,com.cricbuzz.android.vernacular,https://www.cricbuzz.com/app-ads.txt,True,"prosegments.com, PSADG107, DIRECT",
com.allfreegames.allinonegames,All Games : All In One Game,com.allfreegames.allinonegames,https://softechdevs.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG122, DIRECT",
com.allcalendar.bengali.calendar2020,Bangla Calendar 2025,com.allcalendar.bengali.calendar2020,https://softechdevs.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG122, DIRECT",
com.allindcheckbankbalance.allindbankbalcheck,Bank Balance Check,com.allindcheckbankbalance.allindbankbalcheck,https://softechdevs.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG122, DIRECT",
com.squirrel.gun.shooting.hero.city.defender.open.world.game,Squirrel Hero 3D Gun Master,com.squirrel.gun.shooting.hero.city.defender.open.world.game,https://theplaymaxgroup.com/app-ads.txt,True,"prosegments.com, PSADG296,  DIRECT #prosegments",
com.djremix.djmusicplayers,DJ Music Mixer - 3D DJ Remix,com.djremix.djmusicplayers,https://djmusicmixersremix.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG159, DIRECT",
com.cricbox.cricketliveline.fastlivecricketscore,CricBox Fast Cricket Live Line,com.cricbox.cricketliveline.fastlivecricketscore,https://cricboxliveline.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG117, DIRECT",
com.maha.satbara,माझा शेतकरी MH Info,com.maha.satbara,https://graceful-conkies-539e94.netlify.app/app-ads.txt,True,"prosegments.com, PSADG163, DIRECT; prosegments.com, PSADG162, DIRECT",
