TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,hindsightsolutions.net,"pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",programmaticians.com,prosegments.com,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",REMARKS
com.purple.iptv.smart.player,IPTV Smart Purple Player,com.purple.iptv.smart.player,http://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
com.radio.pocketFM,-,com.radio.pocketFM,-,-,-,-,-,-,-,-,-,App not found(404).
com.purple.iptv.lite,Purple Lite - IPTV Player,com.purple.iptv.lite,https://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
com.radio.pocketFM,-,com.radio.pocketFM,-,-,-,-,-,-,-,-,-,App not found(404).
com.radio.pocketFM,-,com.radio.pocketFM,-,-,-,-,-,-,-,-,-,App not found(404).
com.radio.pocketFM,-,com.radio.pocketFM,-,-,-,-,-,-,-,-,-,App not found(404).
com.purple.iptv.smart.player,IPTV Smart Purple Player,com.purple.iptv.smart.player,http://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
com.purple.iptv.lite,Purple Lite - IPTV Player,com.purple.iptv.lite,https://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
home.garden.network,-,home.garden.network,-,-,-,-,-,-,-,-,-,App not found(404).
retail.media.network,-,retail.media.network,-,-,-,-,-,-,-,-,-,App not found(404).
food.drink.network,-,food.drink.network,-,-,-,-,-,-,-,-,-,App not found(404).
sports.media.network,Sports Media Network,sports.media.network,-,-,-,-,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='headlinectv.com', port=443): Max retries exceeded with url: /app-ads.txt (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fe395611510>: Failed to resolve 'headlinectv.com' ([Errno -5] No address associated with hostname)""))"
fashion.beauty.network,Fashion and Beauty Network,fashion.beauty.network,-,-,-,-,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='headlinectv.com', port=443): Max retries exceeded with url: /app-ads.txt (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fe395611510>: Failed to resolve 'headlinectv.com' ([Errno -5] No address associated with hostname)""))"
holiday.travel.network,-,holiday.travel.network,-,-,-,-,-,-,-,-,-,App not found(404).
medical.health.network,-,medical.health.network,-,-,-,-,-,-,-,-,-,App not found(404).
com.headline.ctv,-,com.headline.ctv,-,-,-,-,-,-,-,-,-,App not found(404).
com.boxstv.flixpreview,-,com.boxstv.flixpreview,-,-,-,-,-,-,-,-,-,App not found(404).
com.boxstv.live,-,com.boxstv.live,-,-,-,-,-,-,-,-,-,App not found(404).
com.boxstv.melolite,-,com.boxstv.melolite,-,-,-,-,-,-,-,-,-,App not found(404).
com.boxstv.flixpreview,-,com.boxstv.flixpreview,-,-,-,-,-,-,-,-,-,App not found(404).
