TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,programmaticians.com,rightxchange.com,REMARKS
com.bs.dr.multistorey.parking.car.street.master.apps,Street Car Parking: Car Games,com.bs.dr.multistorey.parking.car.street.master.apps,https://cas.ai/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.bravestars.lightsaber.scigun.simulator.sounds,LightSaber - Gun Simulator,com.bravestars.lightsaber.scigun.simulator.sounds,http://get6mart.com/app-ads.txt,False,"programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
ar.drawing.sketch.paint.trace.draw.picture.paper,AR Drawing: Sketch & Paint,ar.drawing.sketch.paint.trace.draw.picture.paper,https://ar-drawing.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.bubble.tea.simulator.games,Bubble Tea Simulator,com.bubble.tea.simulator.games,https://www.fungameglobal.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.bravestars.bz.prank.sound.simulator.funny,"Prank Simulator: haircut, horn",com.bravestars.bz.prank.sound.simulator.funny,https://fungameglobal.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.solitaire.card,Classic Solitaire,com.solitaire.card,https://www.cardmania.top/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER; programmaticians.com, PMVDO101, DIRECT","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.zm.crossmath,Math Crossword — Number puzzle,com.zm.crossmath,https://tripledotstudios.com/app-ads.txt,True,"programmaticians.com,PMCMRSL101,RESELLER; programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER; programmaticians.com,PMCMRSL102,RESELLER; programmaticians.com,PMCMRSL100,RESELLER; programmaticians.com,PMRE100,RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER; rightxchange.com,RECMRSL100,RESELLER; rightxchange.com,RECMRSL101,RESELLER; rightxchange.com,RXRE100,RESELLER",
com.PSV.Baby_Cooking_School,Cooking School: Game for Girls,com.PSV.Baby_Cooking_School,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.Spider.Hero,Web Shot: Rope swing hero game,com.Spider.Hero,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.Metrafilms.KidECatsDollHouse,Kid-E-Cats Playhouse,com.Metrafilms.KidECatsDollHouse,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.PSVStudio.LuntikMinigames,Moonzy. Kids Mini-Games,com.PSVStudio.LuntikMinigames,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.Zonmob.ShadowofDeath.FightingGames,Shadow of Death: Offline Games,com.Zonmob.ShadowofDeath.FightingGames,https://bravehk.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
